Component ID,Service ID
1,2
1,5
1,8
1,11
1,14
1,17
1,20
1,31
1,34
1,37
1,40
1,43
1,46
1,49
1,52
1,55
1,58
1,61
1,64
1,67
1,70
1,73
1,76
2,1
2,3
2,4
2,6
2,7
2,9
2,10
2,12
2,13
2,15
2,16
2,18
2,19
2,21
2,30
2,32
2,33
2,35
2,36
2,38
2,39
2,41
2,42
2,44
2,45
2,47
2,48
2,50
2,51
2,53
2,54
2,56
2,57
2,59
2,60
2,62
2,63
2,65
2,66
2,68
2,69
2,71
2,72
2,74
2,75
2,77
3,50
3,53
3,56
3,59
3,62
3,65
4,50
4,53
4,56
4,59
5,62
5,65
